locality,type,county,fips_geoid,regulating_body,minutes_platform,minutes_url,minutes_access,minutes_posted,zoning_host,zoning_url,zoning_access,zoning_structure,height_in_code,in_nzlud,minutes_solution_class,zoning_solution_class,tractability_tier,confidence,notes
San Mateo County,county,San Mateo,06081,Planning Commission,Granicus/Legistar,https://sanmateocounty.legistar.com,clean,yes,Municode,https://library.municode.com/ca/san_mateo_county,clean,unknown,unknown,unknown,granicus_family_clean,municode_api,clean,high,County PC (unincorporated only). Legistar + hearing archive on smcgov.org (to 2013). Zoning Municode. to_verify Akamai on smcgov.
Campbell,city,Santa Clara,0610345,Planning Commission,CivicPlus,https://www.campbellca.gov/AgendaCenter/Planning-Commission-6,clean,yes,Municode,https://library.municode.com/ca/campbell/codes/code_of_ordinances?nodeId=TIT21ZO,clean,unknown,unknown,unknown,civicplus_clean,municode_api,needs_adapter,med,CivicEngage AgendaCenter (ViewFile minutes). Zoning Title 21. to_verify Akamai (DocumentCenter). [Akamai sweep 2026-06-08: clean 200]
Cupertino,city,Santa Clara,0617610,Planning Commission,Granicus/Legistar,https://cupertino.legistar.com/,clean,yes,American Legal,https://library.amlegal.com/nxt/gateway.dll/California/cupertino/title19zoning,unknown,unknown,unknown,unknown,granicus_family_clean,amlegal_or_ecode_403,needs_adapter,med,Legistar + Granicus video. Zoning Title 19 American Legal. to_verify amlegal 403; minutes file presence.
Gilroy,city,Santa Clara,0629504,Planning Commission,CivicClerk,https://gilroyca.portal.civicclerk.com/,js_shell,yes,CodePublishing,https://www.codepublishing.com/CA/Gilroy/,clean,unknown,unknown,unknown,civicclerk_modern_api,codepublishing_clean,needs_adapter,med,CivicClerk; legacy Laserfiche WebLink for pre-2022. Zoning CodePublishing Ch.30. REVIEW older archive.
Los Altos,city,Santa Clara,0643280,Planning Commission,CivicClerk,https://losaltosca.portal.civicclerk.com/,js_shell,yes,Municode,https://library.municode.com/ca/los_altos/codes/code_of_ordinances?nodeId=TIT14ZO,clean,unknown,unknown,unknown,civicclerk_modern_api,municode_api,needs_adapter,med,CivicClerk. Zoning Municode Title 14. Distinct from Los Altos Hills.
Los Altos Hills,town,Santa Clara,0643294,Planning Commission,CivicPlus,https://www.losaltoshills.ca.gov/AgendaCenter,clean,yes,eCode360,https://ecode360.com/LO4964,clean,unknown,unknown,unknown,civicplus_clean,ecode360_clean,needs_adapter,med,Town. CivicEngage AgendaCenter. Zoning eCode360. to_verify Akamai (DocumentCenter). [Akamai sweep 2026-06-08: clean 200]
Los Gatos,town,Santa Clara,0644112,Planning Commission,Municode Meetings,https://losgatos-ca.municodemeetings.com/,js_shell,yes,Municode,https://library.municode.com/ca/los_gatos/codes/code_of_ordinances?nodeId=CO_CH29ZORE,clean,unknown,unknown,unknown,municode_meetings_portal,municode_api,needs_adapter,med,"Town. Minutes on Municode Meetings (adaHtmlDocument), NOT CivicClerk. Zoning Municode Ch.29. REVIEW solution class."
Milpitas,city,Santa Clara,0647766,Planning Commission,CivicClerk,https://milpitasca.portal.civicclerk.com/,js_shell,yes,Municode,https://library.municode.com/ca/milpitas/codes/code_of_ordinances?nodeId=TITXIZOPLAN_CH10ZO,clean,unknown,unknown,unknown,civicclerk_modern_api,municode_api,needs_adapter,med,CivicClerk; some minutes on milpitas.gov DocumentCenter (to_verify Akamai). Zoning Title XI Ch.10 (update underway).
Monte Sereno,city,Santa Clara,0648956,Planning Commission (to_verify),CivicPlus,https://www.montesereno.org/AgendaCenter,clean,yes,Municode,https://library.municode.com/ca/monte_sereno/codes/code_of_ordinances?nodeId=MUCO_TIT10PLZO,clean,unknown,unknown,unknown,civicplus_clean,municode_api,needs_adapter,low,Very small. REVIEW regulating_body: 'Site and Architectural Commission' does design/land-use; separate PC to_verify. CivicPlus + CivicWeb portal. Zoning Municode Title 10. [Akamai sweep 2026-06-08: clean 200]
Morgan Hill,city,Santa Clara,0649278,Planning Commission,CivicClerk,https://morganhillca.portal.civicclerk.com/,js_shell,yes,Municode,https://library.municode.com/ca/morgan_hill/codes/code_of_ordinances?nodeId=TIT18ZO,clean,unknown,unknown,unknown,civicclerk_modern_api,municode_api,needs_adapter,med,CivicClerk. Zoning Municode Title 18.
Mountain View,city,Santa Clara,0649670,Environmental Planning Commission (EPC),Granicus/Legistar,https://mountainview.legistar.com/,clean,yes,Municode,https://library.municode.com/ca/mountain_view/codes/code_of_ordinances?nodeId=PTIITHCO_CH36ZO,clean,unknown,unknown,no,granicus_family_clean,municode_api,clean,high,PILOT: body = EPC. Legistar/Granicus. Zoning Municode Ch.36. in_nzlud=no (pilot).
Palo Alto,city,Santa Clara,0655282,Planning & Transportation Commission (PTC),PrimeGov,https://cityofpaloalto.primegov.com/,clean,yes,American Legal,https://codelibrary.amlegal.com/codes/paloalto/latest/paloalto_ca/0-0-0-76269,unknown,unknown,unknown,no,primegov_portal,amlegal_or_ecode_403,needs_adapter,high,PILOT: body = PTC. PrimeGov. Zoning Title 18 American Legal; to_verify amlegal 403. in_nzlud=no (pilot).
San Jose,city,Santa Clara,0668000,Planning Commission,Granicus/Legistar,https://sanjose.legistar.com/,akamai_403,yes,Municode,https://library.municode.com/ca/san_jose/codes/code_of_ordinances,clean,unknown,unknown,yes,granicus_family_akamai,municode_api,access_blocked,high,PILOT: Legistar no minutes file; Granicus MinutesViewer redirects to Akamai DocumentCenter (403). Zoning Title 20 Municode (clean). in_nzlud=yes (pilot).
Santa Clara,city,Santa Clara,0669084,Planning Commission,Granicus/Legistar,https://santaclara.legistar.com/,clean,yes,eCode360,https://ecode360.com/47637827,clean,unknown,unknown,unknown,granicus_family_clean,ecode360_clean,clean,med,City (distinct from county). Legistar/Granicus. Zoning Title 18 migrated to eCode360. to_verify minutes file presence.
Saratoga,city,Santa Clara,0670280,Planning Commission,CivicPlus,https://www.saratoga.ca.us/AgendaCenter/Planning-Commission-6,clean,yes,Municode,https://library.municode.com/ca/saratoga/codes/code_of_ordinances,clean,unknown,unknown,unknown,civicplus_clean,municode_api,needs_adapter,med,CivicPlus AgendaCenter; legacy Granicus video. Zoning Article 15 Municode. to_verify Akamai. [Akamai sweep 2026-06-08: clean 200]
Sunnyvale,city,Santa Clara,0677000,Planning Commission,Granicus/Legistar,https://sunnyvaleca.legistar.com/,clean,yes,QCode,https://library.qcode.us/lib/sunnyvale_ca/pub/municipal_code/item/title_19,clean,unknown,unknown,no,granicus_family_clean,qcode_clean,clean,high,PILOT: Legistar/Granicus. Zoning Title 19 QCode primary (eCode360/Municode mirrors). in_nzlud=no (pilot).
Santa Clara County,county,Santa Clara,06085,Planning Commission,Granicus/Legistar,https://sccgov.iqm2.com/citizens/default.aspx,clean,yes,Municode,https://library.municode.com/ca/santa_clara_county/codes/code_of_ordinances,clean,unknown,unknown,unknown,granicus_family_clean,municode_api,clean,med,County (unincorporated). Minutes on Granicus IQM2/MinuteTraq; REVIEW: portal migrating. Zoning = Appendix I of County Ordinance Code on Municode.
Benicia,city,Solano,0605290,Planning Commission,Granicus/Legistar,https://benicia.granicus.com/ViewPublisher.php?view_id=1,clean,yes,CodePublishing,https://www.codepublishing.com/CA/Benicia/,clean,per_district_sections,unknown,unknown,granicus_family_clean,codepublishing_clean,clean,high,"Granicus; legacy govoffice CMS links out. Zoning CodePublishing Title 17. to_verify view_id, minutes-vs-agenda depth."
Dixon,city,Solano,0619402,Planning Commission,Granicus/Legistar,https://dixon-ca.granicus.com/ViewPublisher.php?view_id=6,clean,yes,CodePublishing,https://www.codepublishing.com/CA/Dixon/,clean,per_district_sections,unknown,unknown,granicus_family_clean,codepublishing_clean,clean,high,Granicus view_id=6; custom CMS links out. Zoning CodePublishing Title 18.
Fairfield,city,Solano,0623182,Planning Commission,Laserfiche,https://eservices.fairfield.ca.gov/WebLink/Browse.aspx?id=82049&dbid=0&repo=SharedDocs,unknown,yes,CodePublishing,https://www.codepublishing.com/CA/Fairfield/,clean,per_district_sections,unknown,unknown,laserfiche_portal,codepublishing_clean,needs_adapter,med,Minutes/ords/resolutions on Laserfiche WebLink (1903-present). to_verify whether council also uses Granicus + WebLink reachability. Zoning CodePublishing Ch.25.
Rio Vista,city,Solano,0660984,Planning Commission,Granicus/Legistar,https://riovista-ca.granicus.com/ViewPublisher.php?view_id=1,clean,yes,eCode360,https://ecode360.com/42831372,clean,per_district_sections,unknown,unknown,granicus_family_clean,ecode360_clean,clean,med,Granicus AgendaViewer; city site embeds links. Zoning eCode360. to_verify view_id + eCode360 root.
Suisun City,city,Solano,0675630,Planning Commission,custom CMS,https://www.suisun.com/Government/City-Council/Agendas,unknown,yes,Municode,https://library.municode.com/ca/suisun_city,clean,per_district_sections,unknown,unknown,custom_cms,municode_api,needs_adapter,med,"Agenda PDFs in sharedassets archive (GovStack-style), no recognized portal. Zoning Municode Title 18. to_verify video portal + access."
Vacaville,city,Solano,0681554,Planning Commission,Granicus/Legistar,https://vacaville.granicus.com/ViewPublisher.php?view_id=2,clean,yes,CodePublishing,https://www.codepublishing.com/CA/Vacaville/,clean,per_district_sections,unknown,unknown,granicus_family_clean,codepublishing_clean,clean,high,Granicus (PC view_id=5). Zoning CodePublishing. to_verify minutes depth.
Vallejo,city,Solano,0681666,Planning Commission,CivicClerk,https://vallejoca.portal.civicclerk.com/,js_shell,yes,Municode,https://library.municode.com/ca/vallejo/codes/municipal_code?nodeId=TIT16ZO,clean,per_district_sections,unknown,unknown,civicclerk_modern_api,municode_api,needs_adapter,high,CivicClerk portal. Zoning Municode Title 16. to_verify API access.
Solano County,county,Solano,06095,Board of Supervisors / Planning Commission,Granicus/Legistar,https://solano.legistar.com/,clean,yes,CodePublishing,https://www.codepublishing.com/CA/SolanoCounty/,clean,per_district_sections,unknown,unknown,granicus_family_clean,codepublishing_clean,clean,high,Unincorporated. BoS on Legistar. Land use via County PC/Zoning Administrator. Zoning CodePublishing. to_verify minutes depth.
Cloverdale,city,Sonoma,0614190,Planning Commission,CivicPlus,https://www.cloverdale.net/AgendaCenter,clean,yes,unknown,,unknown,unknown,unknown,unknown,civicplus_clean,unknown,needs_adapter,med,"CivicPlus AgendaCenter + Archive Center. REVIEW: zoning host not identified (likely Municode/CodePublishing), to_verify. to_verify Akamai. [Akamai sweep 2026-06-08: clean 200]"
Cotati,city,Sonoma,0616560,Planning Commission,CivicPlus,https://www.cotaticity.gov/AgendaCenter,clean,yes,CodePublishing,https://www.codepublishing.com/CA/Cotati/,clean,per_district_sections,yes,unknown,civicplus_clean,codepublishing_clean,needs_adapter,med,CivicPlus AgendaCenter. Zoning Title 17; REVIEW CodePublishing vs eCode360 authoritative. to_verify Akamai. [Akamai sweep 2026-06-08: clean 200]
Healdsburg,city,Sonoma,0633056,Planning Commission,CivicPlus,https://healdsburg.gov/AgendaCenter/Planning-Commission-3,clean,yes,CodePublishing,https://www.codepublishing.com/CA/Healdsburg/,clean,per_district_sections,yes,unknown,civicplus_clean,codepublishing_clean,needs_adapter,med,CivicPlus AgendaCenter (older in Document/Archive Center). Land Use Code Title 20 CodePublishing. to_verify Akamai. [Akamai sweep 2026-06-08: clean 200]
Petaluma,city,Sonoma,0656784,Planning Commission,Granicus/Legistar,https://petaluma.granicus.com/ViewPublisher.php?view_id=15,clean,yes,public.law,https://petaluma.municipal.codes/ZoningOrds,clean,per_district_sections,yes,unknown,granicus_family_clean,publiclaw_clean,clean,high,Granicus PC agendas/minutes/resolutions. Implementing Zoning Ordinance (IZO 2008) on public.law/municipal.codes.
Rohnert Park,city,Sonoma,0662546,Planning Commission,Granicus/Legistar,https://rpcity.granicus.com/ViewPublisher.php?view_id=4,clean,yes,Municode,https://library.municode.com/ca/rohnert_park,clean,per_district_sections,yes,unknown,granicus_family_clean,municode_api,clean,high,Granicus 'Meeting Central'. Zoning Municode Title 17.
Santa Rosa,city,Sonoma,0670098,Planning Commission,Granicus/Legistar,https://santa-rosa.legistar.com/Calendar.aspx,clean,yes,eCode360,https://ecode360.com/42953106,clean,per_district_sections,yes,unknown,granicus_family_clean,ecode360_clean,clean,high,Legistar + Granicus boards portal. Zoning eCode360. to_verify code ID.
Sebastopol,city,Sonoma,0670770,Planning Commission,custom CMS,https://www.cityofsebastopol.gov/your-government/city-meeting-calendar/,clean,yes,public.law,https://sebastopol.municipal.codes/SMC/17,clean,per_district_sections,yes,unknown,custom_cms,publiclaw_clean,needs_adapter,med,Custom Planeteria CMS meeting calendar + YouTube. REVIEW: agenda backend to_verify. Zoning Ch.17 public.law.
Sonoma,city,Sonoma,0672646,Planning Commission,CivicWeb,https://sonomacity.civicweb.net/portal/,clean,yes,public.law,https://sonoma.municipal.codes/,clean,per_district_sections,yes,unknown,civicweb_portal,publiclaw_clean,needs_adapter,med,CivicWeb Portal (iCompass/Granicus-adjacent). Development Code Title 19 on public.law (CodePublishing mirror). City (distinct from county).
Windsor,town,Sonoma,0685922,Planning Commission,CivicPlus,https://www.townofwindsor.ca.gov/67/Planning-Commission,clean,yes,Municode,https://library.municode.com/ca/windsor,clean,per_district_sections,yes,unknown,civicplus_clean,municode_api,needs_adapter,med,CivicPlus town site; REVIEW: Granicus S3 also seen for agenda HTML/video. New Zoning Code Title 17 (eff 12/2024) — to_verify codified in Municode. [Akamai sweep 2026-06-08: clean 200]
Sonoma County,county,Sonoma,06097,Permit Sonoma (Planning Commission / Board of Zoning Adjustments),Granicus/Legistar,https://sonoma-county.granicus.com/boards/w/808bd6e42edf8e0f/boards/36919,clean,yes,Municode,https://library.municode.com/ca/sonoma_county,clean,per_district_sections,yes,unknown,granicus_family_clean,municode_api,clean,high,Unincorporated via Permit Sonoma. PC + BZA often combined; Granicus boards portal. Zoning Ch.26 in county code on Municode.
